0,1,2,3
10,11,20,19
9,21,18,12
12,15,18,15
13,17,12,18
15,14,18,13
14,16,14,16
12,16,16,16
12,10,17,21
11,11,18,20
12,17,16,15
9,13,23,15
15,13,16,16
9,9,28,14
13,15,11,21
15,13,20,12
11,14,16,19
11,17,20,12
9,13,20,18
12,14,18,16
13,17,12,18
10,16,18,16
8,10,24,18
11,21,18,10
11,16,19,14
10,13,21,16
13,12,13,22
13,12,17,18
14,15,17,14
8,16,18,18
15,13,21,11
14,11,16,19
12,19,18,11
11,23,13,13
13,13,19,15
14,15,16,15
11,19,16,14
15,15,20,10
10,17,16,17
15,14,16,15
22,9,17,12
14,14,17,15
10,8,22,20
10,12,23,15
14,18,16,12
17,14,17,12
12,18,19,11
16,13,17,14
11,14,20,15
11,19,23,7
14,16,16,14
11,9,17,23
10,16,20,14
12,18,19,11
16,11,19,14
12,14,13,21
12,8,21,19
13,16,17,14
9,15,20,16
16,11,21,12
13,9,22,16
18,15,21,6
10,12,21,17
10,15,18,17
15,8,21,16
11,18,16,15
9,17,18,16
15,18,17,10
14,15,16,15
16,18,14,12
13,8,22,17
18,14,17,11
10,17,17,16
9,17,20,14
14,12,20,14
16,9,16,19
10,10,18,22
15,9,20,16
15,14,20,11
13,12,20,15
14,11,17,18
13,10,23,14
15,16,14,15
14,13,15,18
16,16,10,18
9,11,21,19
16,16,15,13
5,10,23,22
10,16,23,11
15,10,16,19
12,7,24,17
11,16,19,14
13,13,17,17
15,13,20,12
18,11,18,13
14,14,12,20
13,10,19,18
14,11,20,15
14,13,21,12
15,11,18,16
16,9,24,11
14,14,14,18
18,9,14,19
19,11,18,12
10,15,19,16
13,10,22,15
16,9,17,18
16,11,19,14
19,10,18,13
12,13,20,15
21,6,18,15
20,14,15,11
16,8,22,14
14,11,25,10
